customer_name,matched_core_name,matched_domain
2MamaBees,2MamaBees Inc.,2mamabees.com
Abiie,ABIIE LLC,abiie.com
Active Theory,Active Theory Inc,activetheoryinc.com
Adaptive Solutions,Adaptive Solutions Group,adaptivesg.com
AE Financial Services,Ae Financial Services Ltd,aefinancialservices.co.uk
Age of Innocence,Age of Innocence Limited,age-of-innocence.com
Allstate Financial Services,"Allstate Financial Services, LLC",allstate.com
Allstate Peterbilt Group,Allstate Peterbilt,allstatepeterbilt.com
Alterra Mountain Company,Alterra Mountain,alterramtn.co
American Cooling,American Cooling Inc,americancooling.com
American Eagle Outfitters Inc.,American Eagle Outfitters,aeo-inc.com
Anheuser-Busch Company,Anheuser-Busch,anheuser-busch.com
APMEX,"APMEX, Inc.",apmex.com
Apoorva,APOORVA Corporation,apoorva.com
Appaman,"Appaman, Inc.",appaman.com
Asset Management Group,Asset Management Company,amcfamilyoffice.com
Athletic Brewing,Athletic Brewing Co.,athleticbrewing.com
ATLAS Space Operations,"ATLAS Space Operations, Inc.",atlasspace.com
Attitude Inc,ATTITUDE,attitudeliving.com
Axioma,Axioma Inc.,qontigo.com
Axis Capital Markets,Axis Capital Markets Ltd.,axcap247.com
AZ,AZCO,azco-inc.com
Barcodes,"Barcodes, Inc.",barcodesinc.com
Barry Callebaut Group,Barry Callebaut,barry-callebaut.com
BCG,BCG Limited,bethel.consulting
Beech Hill Securities Inc,"Beech Hill Securities, Inc.",beechhillsecurities.com
Beeline Group,Beeline,beelinegroup.com
Bell,Bell Incorporated,bell-inc.com
Benchmark Builders,"Benchmark Builders, LLC",benchmark-ny.com
Benchmark Mortgage,"Benchmark Mortgage, inc.",benchmarkmortgage.com
Benefit Resource,"Benefit Resource, LLC",benefitresource.com
BGE,"BGE, Inc.",bgeinc.com
Blue Oak Capital,"Blue Oak Capital, LLC",blueoak.net
Blue Ocean,Blue Ocean Inc,blueoceanglobe.net
Blue Ocean Equities LLC,Blue Ocean Equities,blueoceanequities.com.au
BME,"BME, LLC",bmeaudio.com
BOS,BOSSA,bossahearing.com
Brown,"Brown, LLC",ifightforyourrights.com
BTM Industries,BTM Industries Inc,btmindustries.com
Bumbleride,Bumbleride Inc.,bumbleride.com
Bunddler Corp,Bunddler,bunddler.com
Busy Beaver,Busy Beaver Inc.,busybeaverinc.com
Buzz Bee Toys,"Buzz Bee Toys, Inc.",buzzbeetoys.com
Cambridge Investment Research,"Cambridge Investment Research, Inc.",joincambridge.com
Candela,Candela Corporation,candelacorp.com
Caring Health Center,"Caring Health Center, Inc.",caringhealth.org
Carson Group,Carson,carsongroup.com
